,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
903,"RT @ROSE211_SG: | ROSs LET IT BE - YOU &amp; I - ONLY LOOK AT ME is currently charting in Apple Music Singapores Top Videos at no. 43!

THE",xFANSE,Rachl,FANS,169,126,0,24771,Fri Jan 22 06:46:07 +0000 2021,1352507819409330176,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en,0,0,0,0,"| ROSs LET IT BE - YOU &amp; I - ONLY LOOK AT ME is currently charting in Apple Music Singapores Top Videos at no. 43!

THE ROS EFFECT
  #ROS # @BLACKPINK https://t.co/9kUd1TgqjG",True,ROSE211_SG,ROS SINGAPORE,Singapore,1644.0,80.0,16.0,72.0,Fri Jan 22 05:59:10 +0000 2021,1.3524960036606648e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,3.0,36.0,55.0,92.0
904,"RT @Ktown4u_com: #BLACKPINK # # #
#PHOTOBOOK

#LISA - LISA PHOTOBOOK [0327]
Rerelease confirmed as much love were received from fa",galunggongyoo,LISA IT'S ME GONG YOO OPPA,,484,2,4,55077,Fri Jan 22 06:46:07 +0000 2021,1352507822651494402,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"#BLACKPINK # # #
#PHOTOBOOK

#LISA - LISA PHOTOBOOK [0327]
Rerelease confirmed as much love were received from fans!

Check at Ktown4u on 1/22 10AM !
https://t.co/h73Z6GFdBp

#Ktown4u https://t.co/tD4oJgUXtF",True,Ktown4u_com,ktown4u_com,"Seoul, Korea",45296.0,12.0,66.0,1079.0,Fri Jan 22 00:58:37 +0000 2021,1.3524203700793385e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,361.0,43.0,1259.0,3678.0
905,"RT @BLACKPINKFML: [YT] @BLACKPINK has surpassed 56M subscribers on YouTube!

They're the first &amp; the only female artist and also the only A",blinksloveyou,blinker ,Republic of the Philippines,16,188,0,6875,Fri Jan 22 06:46:08 +0000 2021,1352507823318470658,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"[YT] @BLACKPINK has surpassed 56M subscribers on YouTube!

They're the first &amp; the only female artist and also the only Asian artist to reach this milestone! https://t.co/Ct216z1Vv3",True,BLACKPINKFML,BLCKPIK FAMILY VOTES,Worldwide ,35390.0,189.0,110.0,7661.0,Thu Jan 21 17:26:39 +0000 2021,1.3523066295056384e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,4.0,2.0,455.0,1467.0
906,RT @daveypinks: HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to ma,Leilan_bleu,Lia ,,106,111,1,5678,Fri Jan 22 06:46:08 +0000 2021,1352507823855439872,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to many! I can't wait for the impact that she'll for sure leave when it comes to music during her SOLO debut! 

THE ROS EFFECT
#ROS @BLACKPINK https://t.co/eEPcTVkiAN",True,daveypinks,,pinks,39246.0,553.0,134.0,16049.0,Fri Jan 22 06:43:05 +0000 2021,1.3525070553749545e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,4.0,33.0,105.0,200.0
907,"RT @lalisabrand: [NAVER] Blogs about #.
Like and share! Avoid leaving comments if youre not fluent in korean. 

 https://t.co/c04IvZhg6",LOVESlCKLISA_,,sl,128,450,0,3473,Fri Jan 22 06:46:08 +0000 2021,1352507826241892352,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"[NAVER] Blogs about #.
Like and share! Avoid leaving comments if youre not fluent in korean. 

 https://t.co/c04IvZhg6W
 https://t.co/wxCiGoKMeW

 BLACKPINK LISA   
@BLACKPINK https://t.co/1x3EB0vgqY",True,lalisabrand, ,,17265.0,23.0,140.0,67.0,Fri Jan 22 05:02:50 +0000 2021,1.35248182940459e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,5.0,41.0,95.0,130.0
908,@YGontheway @ygent_official Will there be any interaction between Blackpink and Treasure?,XielJin,Xiel Jin Cast,,0,42,0,1667,Fri Jan 22 06:46:08 +0000 2021,1352507826518728704,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
909,RT @intorevezkdlin: awwwww reveluvs the velvets are going to break blackpink's record with longest hiatus soon awwwwwwww ,soolgeee,semi funny,,1252,1544,5,38854,Fri Jan 22 06:46:09 +0000 2021,1352507827814756352,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,awwwww reveluvs the velvets are going to break blackpink's record with longest hiatus soon awwwwwwww ,True,intorevezkdlin,,  | she/her,1170.0,1169.0,5.0,19261.0,Fri Jan 22 05:29:51 +0000 2021,1.3524886273185792e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,26.0,4.0,33.0,176.0
910,RT @daveypinks: HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to ma,LISAs_bangss,,She/her ,935,982,1,12959,Fri Jan 22 06:46:09 +0000 2021,1352507827965751296,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to many! I can't wait for the impact that she'll for sure leave when it comes to music during her SOLO debut! 

THE ROS EFFECT
#ROS @BLACKPINK https://t.co/eEPcTVkiAN",True,daveypinks,,pinks,39177.0,553.0,133.0,16051.0,Fri Jan 22 06:43:05 +0000 2021,1.3525070553749545e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,4.0,33.0,106.0,201.0
911,"RT @BP_Chartsk: Most subscribed Artists on YouTube:

#1 Justin Bieber 60.5M
#2 @BLACKPINK 56M
#3 Marshmello 51M
#4 Ed Sheeran 46.6M",LalizhaaB,lalishablink,,7,81,0,1178,Fri Jan 22 06:46:09 +0000 2021,1352507831123992585,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Most subscribed Artists on YouTube:

#1 Justin Bieber 60.5M
#2 @BLACKPINK 56M
#3 Marshmello 51M
#4 Ed Sheeran 46.6M",True,BP_Chartsk,Kpop Charts,BLACKPINK,7744.0,387.0,17.0,1492.0,Fri Jan 22 01:46:40 +0000 2021,1.35243246264789e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,53.0,14.0,924.0,4202.0
912,"RT @soompi: #TREASURE, #GIDLE, #BLACKPINK, And More Top Gaon Weekly Charts https://t.co/Dw9ZO2oQSV https://t.co/XBunTUaWIv",ZazzaDara1ing,AsAHi_JaEhYuK,Las Islas Filipinas,50,129,1,101273,Fri Jan 22 06:46:10 +0000 2021,1352507831241457664,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"#TREASURE, #GIDLE, #BLACKPINK, And More Top Gaon Weekly Charts https://t.co/Dw9ZO2oQSV https://t.co/XBunTUaWIv",True,soompi,Soompi,Worldwide,2947814.0,3666.0,4973.0,1555.0,Thu Jan 21 23:06:28 +0000 2021,1.3523921451272724e+18,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",en,17.0,65.0,821.0,4653.0
